,"Pets live on this property,Suitable for Events,Wireless Internet,Iron,Elevator in Building,Family/Kid Friendly,TV,Dog(s),Fire Extinguisher,Indoor Fireplace,Hair Dryer,Safety Card,Hangers,Cable TV,Dryer,Hot Tub,Free Parking on Premises,Buzzer/Wireless Intercom,Washer,Breakfast,Carbon Monoxide Detector,Cat(s),Gym,Heating,Smoke Detector,Essentials,First Aid Kit,Shampoo,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Internet,24-Hour Check-in"
Lower Queen Anne,"First Aid Kit,Essentials,Smoke Detector,Heating,Air Conditioning,Cat(s),Buzzer/Wireless Intercom,Breakfast,Carbon Monoxide Detector,Gym,Washer,Doorman,Hangers,Free Parking on Premises,Dryer,Hot Tub,Cable TV,Safety Card,TV,Dog(s),Hair Dryer,Fire Extinguisher,,Indoor Fireplace,Family/Kid Friendly,Elevator in Building,Pets live on this property,Suitable for Events,Pets Allowed,Iron,Wireless Internet,24-Hour Check-in,Kitchen,Laptop Friendly Workspace,Wheelchair Accessible,Internet,Shampoo"
Pioneer Square,"Heating,Air Conditioning,Smoke Detector,First Aid Kit,Essentials,Gym,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Washer,Cat(s),Dryer,Hot Tub,Cable TV,Hangers,Safety Card,Free Parking on Premises,Doorman,,Hair Dryer,TV,Dog(s),Fire Extinguisher,Elevator in Building,Family/Kid Friendly,Wireless Internet,Pets Allowed,Pool,Iron,Suitable for Events,Pets live on this property,Internet,Kitchen,Wheelchair Accessible,Laptop Friendly Workspace,24-Hour Check-in,Shampoo"
Pike-Market,"Air Conditioning,First Aid Kit,Heating,Smoke Detector,Essentials,Carbon Monoxide Detector,Washer,Gym,Breakfast,Buzzer/Wireless Intercom,Free Parking on Premises,Doorman,Safety Card,Dryer,Cable TV,Hot Tub,Hangers,Dog(s),Hair Dryer,Fire Extinguisher,TV,Smoking Allowed,Elevator in Building,Family/Kid Friendly,Pool,Iron,Pets Allowed,Pets live on this property,Wireless Internet,24-Hour Check-in,Internet,Kitchen,Laptop Friendly Workspace,Wheelchair Accessible,Shampoo"
Seaview,"Essentials,Smoke Detector,First Aid Kit,Air Conditioning,Heating,Buzzer/Wireless Intercom,Gym,Cat(s),Washer,Carbon Monoxide Detector,Breakfast,Dryer,Cable TV,Free Parking on Premises,Hangers,Safety Card,Indoor Fireplace,Dog(s),Fire Extinguisher,TV,Hair Dryer,Family/Kid Friendly,Elevator in Building,Suitable for Events,Wireless Internet,Pets live on this property,Iron,Pets Allowed,Laptop Friendly Workspace,Internet,24-Hour Check-in,Wheelchair Accessible,Kitchen,Shampoo"
Broadway,"Smoke Detector,Heating,Essentials,Air Conditioning,First Aid Kit,Cat(s),Carbon Monoxide Detector,Washer,Breakfast,Gym,Buzzer/Wireless Intercom,Other pet(s),Cable TV,Free Parking on Premises,Hangers,Dryer,Safety Card,Hot Tub,Doorman,TV,,Fire Extinguisher,Dog(s),Hair Dryer,Indoor Fireplace,Family/Kid Friendly,Elevator in Building,Smoking Allowed,Pets live on this property,Pool,Wireless Internet,Pets Allowed,Suitable for Events,Iron,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,24-Hour Check-in,Shampoo,Lock on Bedroom Door"
Fauntleroy,"Heating,First Aid Kit,Air Conditioning,Essentials,Smoke Detector,Buzzer/Wireless Intercom,Breakfast,Carbon Monoxide Detector,Cat(s),Washer,Other pet(s),Free Parking on Premises,Dryer,Cable TV,Hangers,Safety Card,Indoor Fireplace,TV,Fire Extinguisher,Hair Dryer,Family/Kid Friendly,Iron,Pets live on this property,Wireless Internet,Pets Allowed,Internet,Laptop Friendly Workspace,24-Hour Check-in,Kitchen,Shampoo"
Industrial District,"TV,Indoor Fireplace,Internet,Wheelchair Accessible,Kitchen,Suitable for Events,Wireless Internet,Air Conditioning,Smoke Detector,Essentials,First Aid Kit,Heating,Shampoo,Cable TV,Dryer,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Washer,Family/Kid Friendly,Elevator in Building"
Lawton Park,"Dog(s),Hair Dryer,TV,,Indoor Fireplace,Fire Extinguisher,Laptop Friendly Workspace,Kitchen,Internet,24-Hour Check-in,Wheelchair Accessible,Iron,Suitable for Events,Pool,Wireless Internet,Pets live on this property,Pets Allowed,Smoke Detector,Heating,Essentials,Air Conditioning,First Aid Kit,Shampoo,Lock on Bedroom Door,Cable TV,Safety Card,Free Parking on Premises,Hangers,Dryer,Hot Tub,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Gym,Washer,Cat(s),Breakfast,Smoking Allowed,Family/Kid Friendly,Elevator in Building"
Gatewood,"Hair Dryer,Dog(s),Fire Extinguisher,Indoor Fireplace,TV,Kitchen,Internet,Laptop Friendly Workspace,Wheelchair Accessible,Pets Allowed,Wireless Internet,Iron,Pets live on this property,Suitable for Events,Smoke Detector,First Aid Kit,Essentials,Air Conditioning,Heating,Lock on Bedroom Door,Shampoo,Cable TV,Hangers,Hot Tub,Dryer,Free Parking on Premises,Safety Card,Washer,Carbon Monoxide Detector,Cat(s),Family/Kid Friendly,Smoking Allowed,Elevator in Building"
Haller Lake,"Indoor Fireplace,Fire Extinguisher,Dog(s),TV,Hair Dryer,Laptop Friendly Workspace,24-Hour Check-in,Kitchen,Internet,Wireless Internet,Iron,Pets live on this property,Heating,Smoke Detector,First Aid Kit,Essentials,Air Conditioning,Shampoo,Safety Card,Cable TV,Hot Tub,Free Parking on Premises,Dryer,Hangers,Cat(s),Carbon Monoxide Detector,Breakfast,Washer,Family/Kid Friendly"
West Woodland,"Hair Dryer,Dog(s),Indoor Fireplace,Fire Extinguisher,TV,Wheelchair Accessible,Kitchen,Laptop Friendly Workspace,Internet,24-Hour Check-in,Iron,Wireless Internet,Pets live on this property,Suitable for Events,Pets Allowed,Essentials,Heating,Smoke Detector,First Aid Kit,Air Conditioning,Lock on Bedroom Door,Shampoo,Safety Card,Hot Tub,Hangers,Dryer,Free Parking on Premises,Cable TV,Buzzer/Wireless Intercom,Cat(s),Carbon Monoxide Detector,Washer,Breakfast,Gym,Family/Kid Friendly,Smoking Allowed,Elevator in Building"
Interbay,"TV,Dog(s),Fire Extinguisher,Indoor Fireplace,Internet,Kitchen,Wheelchair Accessible,24-Hour Check-in,Laptop Friendly Workspace,Pets Allowed,Wireless Internet,Pets live on this property,Suitable for Events,Iron,Smoke Detector,Air Conditioning,Essentials,Heating,First Aid Kit,Lock on Bedroom Door,Shampoo,Dryer,Free Parking on Premises,Cable TV,Safety Card,Hangers,Breakfast,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Gym,Washer,Cat(s),Family/Kid Friendly,Elevator in Building"
Laurelhurst,"Dog(s),TV,Indoor Fireplace,Hair Dryer,Fire Extinguisher,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Wireless Internet,Pets Allowed,Iron,Pets live on this property,First Aid Kit,Smoke Detector,Essentials,Air Conditioning,Heating,Shampoo,Lock on Bedroom Door,Dryer,Hangers,Free Parking on Premises,Hot Tub,Cable TV,Other pet(s),Safety Card,Cat(s),Washer,Gym,Carbon Monoxide Detector,Breakfast,Family/Kid Friendly"
Eastlake,"TV,Dog(s),Fire Extinguisher,Hair Dryer,Indoor Fireplace,Wheelchair Accessible,24-Hour Check-in,Kitchen,Laptop Friendly Workspace,Internet,Pets Allowed,Pool,Pets live on this property,Suitable for Events,Wireless Internet,Iron,Essentials,First Aid Kit,Heating,Smoke Detector,Air Conditioning,Shampoo,Cable TV,Dryer,Safety Card,Hangers,Free Parking on Premises,Buzzer/Wireless Intercom,Cat(s),Breakfast,Carbon Monoxide Detector,Gym,Washer,Elevator in Building,Family/Kid Friendly"
Matthews Beach,"Dog(s),Indoor Fireplace,Fire Extinguisher,Hair Dryer,TV,Kitchen,Wheelchair Accessible,Laptop Friendly Workspace,24-Hour Check-in,Internet,Pets Allowed,Pets live on this property,Iron,Wireless Internet,Essentials,Air Conditioning,Heating,First Aid Kit,Smoke Detector,Lock on Bedroom Door,Shampoo,Free Parking on Premises,Cable TV,Dryer,Safety Card,Hangers,Cat(s),Gym,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Washer,Breakfast,Family/Kid Friendly,Smoking Allowed"
North Queen Anne,"Internet,Laptop Friendly Workspace,Wheelchair Accessible,Kitchen,24-Hour Check-in,Dog(s),Fire Extinguisher,Indoor Fireplace,Hair Dryer,TV,,Family/Kid Friendly,Elevator in Building,Carbon Monoxide Detector,Washer,Buzzer/Wireless Intercom,Cat(s),Breakfast,Gym,Doorman,Dryer,Cable TV,Other pet(s),Hot Tub,Free Parking on Premises,Hangers,Safety Card,Lock on Bedroom Door,Shampoo,Smoke Detector,Heating,First Aid Kit,Essentials,Air Conditioning,Pool,Pets live on this property,Suitable for Events,Iron,Pets Allowed,Wireless Internet"
Arbor Heights,"Kitchen,Internet,Indoor Fireplace,TV,Dog(s),Fire Extinguisher,,Family/Kid Friendly,Carbon Monoxide Detector,Washer,Cable TV,Hot Tub,Free Parking on Premises,Safety Card,Dryer,Shampoo,Essentials,Heating,First Aid Kit,Smoke Detector,Wireless Internet,Pets live on this property"
Belltown,"24-Hour Check-in,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Indoor Fireplace,Fire Extinguisher,Dog(s),TV,Hair Dryer,,Family/Kid Friendly,Smoking Allowed,Elevator in Building,Breakfast,Gym,Washer,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Cat(s),Hangers,Hot Tub,Cable TV,Dryer,Free Parking on Premises,Doorman,Safety Card,Shampoo,Essentials,First Aid Kit,Smoke Detector,Heating,Air Conditioning,Iron,Wireless Internet,Suitable for Events,Pets live on this property,Pets Allowed,Pool"
Mount Baker,"Kitchen,Wheelchair Accessible,24-Hour Check-in,Laptop Friendly Workspace,Internet,Fire Extinguisher,,Dog(s),TV,Indoor Fireplace,Hair Dryer,Smoking Allowed,Family/Kid Friendly,Gym,Breakfast,Carbon Monoxide Detector,Cat(s),Washer,Cable TV,Free Parking on Premises,Dryer,Safety Card,Hot Tub,Other pet(s),Hangers,Shampoo,Lock on Bedroom Door,Essentials,Heating,First Aid Kit,Smoke Detector,Air Conditioning,Pets Allowed,Pets live on this property,Suitable for Events,Iron,Wireless Internet"
South Delridge,"Kitchen,Laptop Friendly Workspace,24-Hour Check-in,Internet,Wheelchair Accessible,Indoor Fireplace,Fire Extinguisher,,Hair Dryer,TV,Family/Kid Friendly,Smoking Allowed,Breakfast,Carbon Monoxide Detector,Cat(s),Washer,Cable TV,Safety Card,Free Parking on Premises,Hangers,Hot Tub,Dryer,Shampoo,First Aid Kit,Air Conditioning,Smoke Detector,Essentials,Heating,Pets Allowed,Iron,Wireless Internet,Pets live on this property,Suitable for Events"
Montlake,"Laptop Friendly Workspace,Internet,Kitchen,24-Hour Check-in,Indoor Fireplace,Dog(s),Fire Extinguisher,Hair Dryer,TV,Family/Kid Friendly,Washer,Breakfast,Cat(s),Carbon Monoxide Detector,Gym,Other pet(s),Free Parking on Premises,Cable TV,Safety Card,Dryer,Hangers,Lock on Bedroom Door,Shampoo,Smoke Detector,Heating,Air Conditioning,Essentials,First Aid Kit,Iron,Wireless Internet,Pets Allowed,Pets live on this property"
Phinney Ridge,"Kitchen,24-Hour Check-in,Internet,Laptop Friendly Workspace,Indoor Fireplace,Fire Extinguisher,Hair Dryer,TV,Dog(s),,Elevator in Building,Family/Kid Friendly,Breakfast,Gym,Cat(s),Washer,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Hangers,Cable TV,Dryer,Other pet(s),Safety Card,Free Parking on Premises,Hot Tub,Shampoo,Heating,Essentials,Air Conditioning,First Aid Kit,Smoke Detector,Iron,Wireless Internet,Suitable for Events,Pets live on this property,Pets Allowed,Pool"
Columbia City,"Cat(s),Carbon Monoxide Detector,Buzzer/Wireless Intercom,Breakfast,Washer,Gym,Essentials,Air Conditioning,First Aid Kit,Smoke Detector,Heating,Shampoo,Lock on Bedroom Door,24-Hour Check-in,Kitchen,Wheelchair Accessible,Internet,Laptop Friendly Workspace,Wireless Internet,Pets Allowed,Iron,Suitable for Events,Pets live on this property,Family/Kid Friendly,Smoking Allowed,Elevator in Building,Hair Dryer,Dog(s),Fire Extinguisher,Indoor Fireplace,TV,Other pet(s),Dryer,Cable TV,Free Parking on Premises,Hot Tub,Safety Card,Hangers"
Green Lake,"Gym,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Cat(s),Breakfast,Washer,Essentials,Smoke Detector,First Aid Kit,Heating,Air Conditioning,Shampoo,Lock on Bedroom Door,24-Hour Check-in,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Pets live on this property,Suitable for Events,Pets Allowed,Iron,Wireless Internet,Family/Kid Friendly,Elevator in Building,Dog(s),Hair Dryer,Fire Extinguisher,TV,Indoor Fireplace,Free Parking on Premises,Hot Tub,Hangers,Dryer,Other pet(s),Cable TV,Safety Card"
Olympic Hills,"Breakfast,Cat(s),Washer,Carbon Monoxide Detector,Smoke Detector,First Aid Kit,Heating,Essentials,Air Conditioning,Shampoo,Lock on Bedroom Door,24-Hour Check-in,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Iron,Wireless Internet,Pets live on this property,Suitable for Events,Family/Kid Friendly,Hair Dryer,TV,Indoor Fireplace,,Fire Extinguisher,Safety Card,Hangers,Dryer,Cable TV,Free Parking on Premises"
Westlake,"Buzzer/Wireless Intercom,Carbon Monoxide Detector,Washer,Cat(s),Gym,Breakfast,Smoke Detector,Air Conditioning,Essentials,Heating,First Aid Kit,Shampoo,Internet,24-Hour Check-in,Wheelchair Accessible,Laptop Friendly Workspace,Kitchen,Pets live on this property,Pets Allowed,Suitable for Events,Wireless Internet,Iron,Smoking Allowed,Elevator in Building,Family/Kid Friendly,,Hair Dryer,Indoor Fireplace,Fire Extinguisher,Dog(s),TV,Dryer,Free Parking on Premises,Safety Card,Hot Tub,Hangers,Cable TV"
View Ridge,"Carbon Monoxide Detector,Breakfast,Washer,Gym,Essentials,First Aid Kit,Heating,Air Conditioning,Smoke Detector,Shampoo,Kitchen,24-Hour Check-in,Internet,Laptop Friendly Workspace,Pool,Iron,Suitable for Events,Pets Allowed,Wireless Internet,Family/Kid Friendly,TV,Dog(s),Indoor Fireplace,Fire Extinguisher,Dryer,Hangers,Hot Tub,Cable TV,Free Parking on Premises,Safety Card"
Atlantic,"Buzzer/Wireless Intercom,Carbon Monoxide Detector,Cat(s),Breakfast,Gym,Washer,First Aid Kit,Essentials,Air Conditioning,Smoke Detector,Heating,Shampoo,Lock on Bedroom Door,Wheelchair Accessible,Laptop Friendly Workspace,24-Hour Check-in,Internet,Kitchen,Pool,Pets live on this property,Iron,Suitable for Events,Pets Allowed,Wireless Internet,Family/Kid Friendly,Elevator in Building,Smoking Allowed,Indoor Fireplace,Hair Dryer,,Dog(s),Fire Extinguisher,TV,Hot Tub,Hangers,Safety Card,Cable TV,Dryer,Free Parking on Premises"
Fremont,"Cat(s),Breakfast,Washer,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Gym,Heating,Air Conditioning,Smoke Detector,Essentials,First Aid Kit,Lock on Bedroom Door,Shampoo,Kitchen,Laptop Friendly Workspace,24-Hour Check-in,Internet,Wheelchair Accessible,Pets Allowed,Wireless Internet,Iron,Pets live on this property,Suitable for Events,Elevator in Building,Smoking Allowed,Family/Kid Friendly,Dog(s),TV,Fire Extinguisher,Indoor Fireplace,Hair Dryer,Hangers,Free Parking on Premises,Safety Card,Hot Tub,Cable TV,Other pet(s),Dryer"
Wallingford,"Carbon Monoxide Detector,Cat(s),Gym,Breakfast,Washer,Buzzer/Wireless Intercom,First Aid Kit,Heating,Essentials,Smoke Detector,Air Conditioning,Shampoo,Lock on Bedroom Door,Wheelchair Accessible,Internet,Laptop Friendly Workspace,Kitchen,24-Hour Check-in,Pets Allowed,Pets live on this property,Wireless Internet,Iron,Pool,Suitable for Events,Smoking Allowed,Elevator in Building,Family/Kid Friendly,Hair Dryer,Indoor Fireplace,TV,Dog(s),Fire Extinguisher,,Cable TV,Hangers,Hot Tub,Safety Card,Other pet(s),Dryer,Free Parking on Premises"
Sunset Hill,"Washer,Carbon Monoxide Detector,Breakfast,Heating,Essentials,Smoke Detector,First Aid Kit,Air Conditioning,Shampoo,24-Hour Check-in,Internet,Kitchen,Laptop Friendly Workspace,Pets Allowed,Iron,Wireless Internet,Pets live on this property,Family/Kid Friendly,,Indoor Fireplace,Hair Dryer,Dog(s),TV,Fire Extinguisher,Dryer,Hangers,Hot Tub,Cable TV,Other pet(s),Free Parking on Premises,Safety Card"
High Point,"Washer,Carbon Monoxide Detector,Breakfast,Cat(s),Gym,Heating,First Aid Kit,Smoke Detector,Essentials,Air Conditioning,Lock on Bedroom Door,Shampoo,24-Hour Check-in,Laptop Friendly Workspace,Kitchen,Internet,Suitable for Events,Iron,Wireless Internet,Pets Allowed,Pets live on this property,Family/Kid Friendly,Smoking Allowed,Indoor Fireplace,Hair Dryer,Dog(s),Fire Extinguisher,TV,Free Parking on Premises,Dryer,Hot Tub,Safety Card,Hangers,Cable TV"
Windermere,"Buzzer/Wireless Intercom,Carbon Monoxide Detector,Breakfast,Cat(s),Washer,Air Conditioning,Smoke Detector,First Aid Kit,Heating,Essentials,Shampoo,Internet,Laptop Friendly Workspace,Kitchen,Pets live on this property,Pets Allowed,Iron,Wireless Internet,Family/Kid Friendly,TV,Dog(s),Indoor Fireplace,Hair Dryer,Fire Extinguisher,Hangers,Hot Tub,Cable TV,Free Parking on Premises,Safety Card,Dryer"
North College Park,"Washer,Breakfast,Carbon Monoxide Detector,Cat(s),Gym,Buzzer/Wireless Intercom,Smoke Detector,First Aid Kit,Heating,Air Conditioning,Essentials,Shampoo,Wheelchair Accessible,Kitchen,24-Hour Check-in,Laptop Friendly Workspace,Internet,Pets live on this property,Iron,Pool,Wireless Internet,Suitable for Events,Pets Allowed,Elevator in Building,Smoking Allowed,Family/Kid Friendly,Hair Dryer,Dog(s),Fire Extinguisher,Indoor Fireplace,TV,,Dryer,Safety Card,Hangers,Hot Tub,Cable TV,Free Parking on Premises"
Leschi,"Carbon Monoxide Detector,Breakfast,Cat(s),Washer,Air Conditioning,Heating,First Aid Kit,Smoke Detector,Essentials,Shampoo,Laptop Friendly Workspace,Wheelchair Accessible,Internet,24-Hour Check-in,Kitchen,Iron,Pets Allowed,Wireless Internet,Pets live on this property,Suitable for Events,Elevator in Building,Smoking Allowed,Family/Kid Friendly,Indoor Fireplace,Dog(s),TV,Hair Dryer,Fire Extinguisher,Other pet(s),Cable TV,Hot Tub,Safety Card,Dryer,Hangers,Free Parking on Premises"
International District,"Carbon Monoxide Detector,Buzzer/Wireless Intercom,Gym,Breakfast,Cat(s),Washer,Smoke Detector,Essentials,Air Conditioning,First Aid Kit,Heating,Shampoo,24-Hour Check-in,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Iron,Suitable for Events,Pets Allowed,Pets live on this property,Wireless Internet,Elevator in Building,Smoking Allowed,Family/Kid Friendly,Dog(s),Fire Extinguisher,Hair Dryer,TV,Indoor Fireplace,Hangers,Cable TV,Dryer,Safety Card,Free Parking on Premises"
Harrison/Denny-Blaine,"Washer,Carbon Monoxide Detector,Cat(s),Heating,First Aid Kit,Air Conditioning,Essentials,Smoke Detector,Lock on Bedroom Door,Shampoo,Kitchen,Laptop Friendly Workspace,Wheelchair Accessible,Internet,24-Hour Check-in,Pets live on this property,Pets Allowed,Iron,Wireless Internet,Family/Kid Friendly,Indoor Fireplace,Hair Dryer,Fire Extinguisher,Dog(s),TV,Other pet(s),Hangers,Free Parking on Premises,Cable TV,Dryer,Safety Card"
Wedgwood,"Cat(s),Carbon Monoxide Detector,Buzzer/Wireless Intercom,Washer,Breakfast,Essentials,First Aid Kit,Smoke Detector,Heating,Air Conditioning,Shampoo,Lock on Bedroom Door,24-Hour Check-in,Kitchen,Internet,Laptop Friendly Workspace,Wheelchair Accessible,Pets live on this property,Wireless Internet,Pets Allowed,Suitable for Events,Pool,Iron,Elevator in Building,Family/Kid Friendly,Hair Dryer,Dog(s),TV,Fire Extinguisher,Indoor Fireplace,Safety Card,Free Parking on Premises,Cable TV,Hot Tub,Hangers,Other pet(s),Dryer"
First Hill,"Family/Kid Friendly,Smoking Allowed,Elevator in Building,Suitable for Events,Pets Allowed,Wireless Internet,Pets live on this property,Pool,Iron,Internet,Laptop Friendly Workspace,Wheelchair Accessible,Kitchen,24-Hour Check-in,Shampoo,Lock on Bedroom Door,Heating,Essentials,Smoke Detector,First Aid Kit,Air Conditioning,Buzzer/Wireless Intercom,Gym,Carbon Monoxide Detector,Cat(s),Breakfast,Washer,Doorman,Hot Tub,Cable TV,Dryer,Hangers,Free Parking on Premises,Safety Card,Fire Extinguisher,Hair Dryer,Dog(s),Indoor Fireplace,TV"
Roxhill,"Family/Kid Friendly,Wireless Internet,Pets Allowed,Internet,Kitchen,Shampoo,First Aid Kit,Smoke Detector,Essentials,Heating,Washer,Carbon Monoxide Detector,Free Parking on Premises,Hot Tub,Cable TV,Dryer,Safety Card,Indoor Fireplace,TV,Fire Extinguisher"
North Beacon Hill,"Smoking Allowed,Elevator in Building,Family/Kid Friendly,Pets Allowed,Iron,Wireless Internet,Pool,Pets live on this property,Suitable for Events,24-Hour Check-in,Kitchen,Wheelchair Accessible,Internet,Laptop Friendly Workspace,Shampoo,Lock on Bedroom Door,Smoke Detector,Air Conditioning,Heating,Essentials,First Aid Kit,Washer,Cat(s),Carbon Monoxide Detector,Buzzer/Wireless Intercom,Breakfast,Dryer,Hangers,Other pet(s),Cable TV,Free Parking on Premises,Safety Card,Hot Tub,Dog(s),,Indoor Fireplace,Hair Dryer,TV,Fire Extinguisher"
Victory Heights,"Elevator in Building,Family/Kid Friendly,Pets live on this property,Iron,Suitable for Events,Wireless Internet,Pets Allowed,Kitchen,Internet,24-Hour Check-in,Laptop Friendly Workspace,Shampoo,Heating,Smoke Detector,Air Conditioning,Essentials,First Aid Kit,Washer,Carbon Monoxide Detector,Cable TV,Safety Card,Dryer,Hot Tub,Free Parking on Premises,Hangers,TV,Indoor Fireplace,Dog(s),Fire Extinguisher,Hair Dryer,"
